"82";"CYKZ";"YKZ";"Buttonville Muni";"Toronto";"Canada";"43,86";"-79,37";"650";"-5";;;;"0";"0";"0";;;;"0";"0";"0";"main::fr_FR";"1";"5";;;"0";"0";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"83";"CYLD";"YLD";"Chapleau";"Chapleau";"Canada";"47,82";"-83,34";"1470";"-5";;;;"0";"0";"0";;;;"0";"0";"0";"main::fr_FR";"1";"5";;;"0";"0";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"84";"CYLJ";"YLJ";"Meadow Lake";"Meadow Lake";"Canada";"54,12";"-108,52";"1576";"-6";;;;"0";"0";"0";;;;"0";"0";"0";"main::fr_FR";"1";"5";;;"0";"0";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"85";"CYLL";"YLL";"Lloydminster";"Lloydminster";"Canada";"53,3";"-110,07";"2193";"-6";;;;"0";"0";"0";;;;"0";"0";"0";"main::fr_FR";"1";"5";;;"0";"0";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"86";"CYLT";"YLT";"Alert";"Alert";"Canada";"82,51";"-62,28";"100";"-5";;;;"0";"0";"0";;;;"0";"0";"0";"main::fr_FR";"1";"5";;;"0";"0";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"87";"CYLW";"YLW";"Kelowna";"Kelowna";"Canada";"49,95";"-119,37";"1409";"-8";;;;"0";"0";"0";;;;"0";"0";"0";"main::fr_FR";"1";"5";;;"0";"0";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"88";"CYMA";"YMA";"Mayo";"Mayo";"Canada";"63,61";"-135,86";"1653";"-8";;;;"0";"0";"0";;;;"0";"0";"0";"main::fr_FR";"1";"5";;;"0";"0";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"89";"CYMJ";"YMJ";"Moose Jaw Air Vice Marshal C M Mcewen";"Moose Jaw";"Canada";"50,33";"-105,55";"1892";"-6";;;;"0";"0";"0";;;;"0";"0";"0";"main::fr_FR";"1";"5";;;"0";"0";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"90";"CYMM";"YMM";"Fort Mcmurray";"Fort Mcmurray";"Canada";"56,65";"-111,22";"1211";"-7";;;;"0";"0";"0";;;;"0";"0";"0";"main::fr_FR";"1";"5";;;"0";"0";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"91";"CYMO";"YMO";"Moosonee";"Moosonee";"Canada";"51,29";"-80,6";"30";"-5";;;;"0";"0";"0";;;;"0";"0";"0";"main::fr_FR";"1";"5";;;"0";"0";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
